Location,Sample Name,Date,Ammonia_mgl_Q,Ammonia_mgl,N_mgl_Q,Nitrate_mgl,Perchlorate_ugl_Q,Perchlorate_ugl
MW-30,MW-30-06082016,6/8/2016,0.18,0.18,0.615,0.615,<4.0  ,4
MW-30,MW30-12142016-1055,12/14/2016,0.46,0.46,<0.100  ,0.1,0.32,0.32
MW-30,MW-30-06072017,6/7/2017,0.1,0.1,0.836,0.836,0.2,0.2
MW-30,MW-30-12132017,12/13/2017,0.13,0.13,1.22 J ,1.22,<0.20  ,0.2
MW-30,MW-30-12052018,12/5/2018,0.044 J ,0.044,0.756 J ,0.756,0.27,0.27
MW-30,MW-30-12112019,12/11/2019,<0.050  ,0.05,<0.100  ,0.1,<0.20  ,0.2
MW-30,MW-30-120820,12/8/2020,0.055,0.055,0.809,0.809,<0.500  ,0.5
MW-30,MW-30-120821,12/8/2021,0.029 J ,0.029,0.452 J ,0.452,0.0338 J ,0.0338
MW-30,MW-30,12/6/2022,0.076,0.076,0.177,0.177,0.0582 J ,0.0582
MW-30,MW-30-12072023,12/7/2023,<0.200  ,0.2,<0.500  ,0.5,<0.100  ,0.1
MW-30,MW-30-12032024,12/3/2024,0.149 J ,0.149,<0.200  ,0.2,<0.5  ,0.5
VEW-01,VEW-1,11/23/2010,1,1,<0.40  ,0.4,<4.0  ,4
VEW-01,VEW-1,6/14/2011,<0.20  ,0.2,<0.10  ,0.1,<4.0  ,4
VEW-01,VEW-1,12/7/2011,1.4,1.4,<1.0  ,1,<4.0  ,4
VEW-01,VEW-1,9/11/2012,< ABANDONED ,,< ABANDONED ,,< ABANDONED ,
LP-1,LP-1,7/16/2003,0.31,0.31,<0.10  ,0.1,70.2,70.2
LP-1,LP-1,3/9/2004,0.2,0.2,0.35,0.35,52.3,52.3
LP-1,LP-1,6/2/2004,0.32,0.32,0.088 B ,0.088,38.2,38.2
LP-1,LP-1,9/10/2004,0.17 B ,0.17,0.45 B ,0.45,2.1,2.1
LP-1,LP-1,12/7/2004,0.22,0.22,0.15,0.15,<1.0  ,1
LP-1,LP-1,6/28/2005,0.13 B ,0.13,<0.10  ,0.1,<1.0  ,1
LP-1,LP-1,12/6/2005,<0.20  ,0.2,<0.10  ,0.1,<2.0  ,2
LP-1,LP-1,3/7/2006,<0.20  ,0.2,<0.10  ,0.1,<2.0  ,2
LP-1,LP-1,9/7/2006,<0.20  ,0.2,<0.10  ,0.1,<8.0  ,8
LP-2 (SW-1R),LP-2 (SW-1R),3/28/2000,162,162,272,272,36000,36000
LP-2 (SW-1R),LP-2 (SW-1R),8/22/2002,0.91,0.91,19.99,19.99,4540,4540
LP-2 (SW-1R),LP-2 (SW-1R),1/15/2003,1.8,1.8,28,28,5270,5270
LP-2 (SW-1R),LP-2 (SW-1R) GN3 - SW5,5/28/2003,< NS ,,< NS ,,551,551
LP-2 (SW-1R),LP-2 (SW-1R) GN3 - SW6,5/28/2003,< NS ,,< NS ,,559,559
LP-2 (SW-1R),LP-2 (SW-1R),7/16/2003,0.64,0.64,7.5,7.5,1560,1560
LP-2 (SW-1R),LP-2 (SW-1R),3/9/2004,0.7,0.7,4.5,4.5,611,611
LP-2 (SW-1R),LP-2 (SW-1R),6/2/2004,0.62,0.62,4.2,4.2,779,779
LP-2 (SW-1R),LP-2 (SW-1R),9/10/2004,1.5,1.5,1.8,1.8,301,301
LP-2 (SW-1R),LP-2 (SW-1R),12/8/2004,1.2,1.2,6.6,6.6,826,826
LP-2 (SW-1R),LP-2 (SW-1R),6/28/2005,0.24,0.24,0.85,0.85,146,146
LP-2 (SW-1R),LP-2 (SW-1R),12/7/2005,0.19 B ,0.19,0.66,0.66,45.8,45.8
LP-2 (SW-1R),LP-2 (SW-1R),3/7/2006,0.31,0.31,0.54,0.54,70,70
LP-2 (SW-1R),LP-2 (SW-1R),9/7/2006,0.36,0.36,0.15,0.15,34.2,34.2
LP-2 (SW-1R),LP-2 (SW-1R),6/13/2007,0.45,0.45,2.1,2.1,192,192
LP-2 (SW-1R),LP-2 (SW-1R),10/10/2007,0.44,0.44,0.48,0.48,64.8,64.8
LP-2 (SW-1R),LP-2 (SW-1R),2/8/2008,0.74,0.74,6.2 J ,6.2,303,303
LP-2 (SW-1R),LP-2 (SW-1R),6/11/2008,1.3,1.3,1.6 B ,1.6,122,122
LP-2 (SW-1R),LP-2 (SW-1R),10/7/2008,0.67,0.67,1.7,1.7,141,141
LP-2 (SW-1R),LP-2 (SW-1R),2/10/2009,0.69,0.69,4.9,4.9,197,197
LP-2 (SW-1R),LP-2 (SW-1R),6/16/2009,0.39,0.39,1.1,1.1,107,107
LP-2 (SW-1R),LP-2 (SW-1R),12/14/2009,<0.20  ,0.2,2.1,2.1,134,134
LP-2 (SW-1R),LP-2 (SW-1R),6/15/2010,0.52,0.52,2,2,189,189
LP-2 (SW-1R),LP-2 (SW-1R),12/7/2010,0.22,0.22,0.65,0.65,48.3,48.3
LP-2 (SW-1R),LP-2 (SW-1R),6/15/2011,0.42,0.42,0.64,0.64,83.1,83.1
LP-2 (SW-1R),LP-2 (SW-1R),12/6/2011,0.5,0.5,1.6,1.6,164,164
LP-2 (SW-1R),LP-2 (SW-1R),6/12/2012,0.4,0.4,<0.10  ,0.1,11.1,11.1
LP-2 (SW-1R),LP-2 (SW-1R),12/4/2012,<0.2  ,0.2,0.35,0.35,68,68
LP-2 (SW-1R),LP-2 (SW-1R),6/12/2013,0.14,0.14,0.5,0.5,93,93
LP-2 (SW-1R),LP-2 (SW-1R),12/10/2013,< NS ,,< NS ,,< NS ,
LP-2 (SW-1R),LP-2 (SW-1R) (B),6/19/2014,<0.25  ,0.25,0.14,0.14,45,45
LP-2 (SW-1R),LP-2 (SW-1R) (S),6/19/2014,<0.25  ,0.25,0.1,0.1,53,53
LP-2 (SW-1R),LP-2 (SW-1R),12/4/2014,0.17,0.17,0.688,0.688,110,110
LP-2 (SW-1R),LP-2 (SW-1R),6/4/2015,0.12,0.12,0.631,0.631,150,150
LP-2 (SW-1R),LP-2-12082015,12/8/2015,0.17,0.17,0.709,0.709,80,80
LP-2,LP-2-06072016,6/7/2016,0.25 J ,0.25,0.44,0.44,45 J ,45
LP-2,LP2-12132016-1515,12/13/2016,0.096,0.096,0.316,0.316,59,59
LP-2,LP-2-06062017,6/6/2017,0.27,0.27,1.3,1.3,150,150
LP-2,LP-2-12132017,12/13/2017,0.11,0.11,0.441,0.441,36,36
LP-2,LP-2-12042018,12/4/2018,0.16,0.16,0.702,0.702,100,100
LP-2,LP-2-12102019,12/10/2019,0.073,0.073,<0.100  ,0.1,71,71
LP-2,LP-2-120820,12/8/2020,0.074,0.074,1.56,1.56,123,123
LP-2,LP-2-120721,12/7/2021,0.075,0.075,0.403,0.403,33.5 J ,33.5
LP-2,LP-2-120622,12/6/2022,0.14,0.14,0.755,0.755,65.1,65.1
LP-2,LP-2-12052023,12/5/2023,<0.200  ,0.2,0.424,0.424,55.6,55.6
LP-2,LP-2-12042024,12/4/2024,<0.200  ,0.2,0.29,0.29,35,35
LP-3 (SW-3),LP-3 (SW-3),7/16/2003,1.5,1.5,<0.10  ,0.1,12.6,12.6
LP-3 (SW-3),LP-3 (SW-3),3/8/2004,0.2,0.2,0.25,0.25,26.8,26.8
LP-3 (SW-3),LP-3 (SW-3),6/2/2004,0.28,0.28,0.084 B ,0.084,32.9,32.9
LP-3 (SW-3),LP-3 (SW-3),9/9/2004,0.23,0.23,<0.50  ,0.5,<1.0  ,1
LP-3 (SW-3),LP-3 (SW-3),12/7/2004,0.28,0.28,0.13,0.13,<1.0  ,1
LP-3 (SW-3),LP-3 (SW-3),6/28/2005,<0.20  ,0.2,<0.10  ,0.1,<1.0  ,1
LP-3 (SW-3),LP-3 (SW-3),12/6/2005,<0.20  ,0.2,0.061 B ,0.061,<2.0  ,2
LP-3 (SW-3),LP-3 (SW-3),3/7/2006,<0.20  ,0.2,0.045 B ,0.045,<2.0  ,2
LP-3 (SW-3),LP-3 (SW-3),9/7/2006,0.15 B ,0.15,0.090 B ,0.09,<8.0  ,8
LP-4,LP-4,3/9/2004,0.3,0.3,0.62,0.62,84.5,84.5
LP-4,LP-4,6/3/2004,0.37,0.37,0.18,0.18,7.7,7.7
LP-4,LP-4,9/10/2004,0.19 B ,0.19,0.44 B ,0.44,<1.0  ,1
LP-4,LP-4,12/8/2004,0.33,0.33,0.67,0.67,113,113
LP-4,LP-4,6/28/2005,<0.20  ,0.2,<0.10  ,0.1,2.3,2.3
LP-4,LP-4,12/6/2005,<0.20  ,0.2,<0.10  ,0.1,4.3,4.3
LP-4,LP-4,3/7/2006,0.13 B ,0.13,<0.10  ,0.1,1.8,1.8
LP-4,LP-4,9/7/2006,<0.20  ,0.2,<0.10  ,0.1,<4.0  ,4
LP-5,LP-5,3/9/2004,0.42,0.42,0.1,0.1,<4.0  ,4
LP-5,LP-5,6/1/2004,0.43,0.43,<0.10  ,0.1,<1.0  ,1
LP-5,LP-5,9/9/2004,0.69,0.69,0.46 B ,0.46,<1.0  ,1
LP-5,LP-5,12/7/2004,0.43,0.43,0.42,0.42,<1.0  ,1
LP-6 (SW-9),LP-6 (SW-9),1/15/2003,0.44,0.44,0.18,0.18,<5.0  ,5
LP-6 (SW-9),LP-6 (SW-9),3/8/2004,0.17 B ,0.17,0.12,0.12,<4.0  ,4
LP-6 (SW-9),LP-6 (SW-9),6/1/2004,0.27,0.27,<0.10  ,0.1,22.3,22.3
LP-6 (SW-9),LP-6 (SW-9),9/9/2004,<0.20  ,0.2,<0.50  ,0.5,<1.0  ,1
LP-6 (SW-9),LP-6 (SW-9),12/7/2004,0.28,0.28,0.11,0.11,<1.0  ,1
LP-7,LP-7-06072016,6/7/2016,0.19 J ,0.19,0.113,0.113,<40  ,40
LP-7,LP7-12132016-1445,12/13/2016,0.12,0.12,0.239,0.239,0.13 J ,0.13
LP-7,LP-7-06062017,6/6/2017,0.4,0.4,0.233,0.233,0.12 J ,0.12
LP-7,LP-7-12132017,12/13/2017,0.082,0.082,<0.100  ,0.1,0.11 J ,0.11
LP-7,LP-7-12042018,12/4/2018,0.27,0.27,<0.100  ,0.1,0.8,0.8
LP-7,LP-7-12102019,12/10/2019,0.07,0.07,<0.100  ,0.1,0.53,0.53
LP-7,LP-7-120820,12/8/2020,0.088,0.088,0.125,0.125,0.506,0.506
LP-7,LP-7-120721,12/7/2021,0.038 J ,0.038,<0.100  ,0.1,0.213 J ,0.213
LP-7,LP-7-120622,12/6/2022,0.026 J ,0.026,<0.100  ,0.1,0.164,0.164
LP-7,LP-7-12052023,12/5/2023,<0.200  ,0.2,<0.100  ,0.1,0.209,0.209
LP-7,LP-7-12042024,12/4/2024,<0.200  ,0.2,<0.100  ,0.1,2.5,2.5
LP-7 (SW-2),LP-7 (SW-2),1/15/2003,0.13,0.13,0.1,0.1,1.4,1.4
LP-7 (SW-2),LP-7 (SW-2),3/9/2004,0.28,0.28,0.49,0.49,66.6,66.6
LP-7 (SW-2),LP-7 (SW-2),6/3/2004,0.22,0.22,0.17,0.17,6.5,6.5
LP-7 (SW-2),LP-7 (SW-2),9/10/2004,0.2,0.2,<0.50  ,0.5,<1.0  ,1
LP-7 (SW-2),LP-7 (SW-2),6/28/2005,<0.20  ,0.2,<0.10  ,0.1,2.6,2.6
LP-7 (SW-2),LP-7 (SW-2),12/7/2005,<0.20  ,0.2,<0.10  ,0.1,4.6,4.6
LP-7 (SW-2),LP-7 (SW-2),3/7/2006,0.56,0.56,<0.10  ,0.1,2,2
LP-7 (SW-2),LP-7 (SW-2),9/7/2006,0.13 B ,0.13,<0.10  ,0.1,<4.0  ,4
LP-7 (SW-2),LP-7 (SW-2),6/12/2007,0.2,0.2,<0.10  ,0.1,<4.0  ,4
LP-7 (SW-2),LP-7 (SW-2),10/10/2007,0.23,0.23,0.13,0.13,4.4,4.4
LP-7 (SW-2),LP-7 (SW-2),2/8/2008,0.096 J ,0.096,<0.10  ,0.1,6.7,6.7
LP-7 (SW-2),LP-7 (SW-2),6/11/2008,0.28,0.28,0.14 B ,0.14,4.4,4.4
LP-7 (SW-2),LP-7 (SW-2),10/7/2008,0.21,0.21,0.18,0.18,4,4
LP-7 (SW-2),LP-7 (SW-2),2/10/2009,<0.20  ,0.2,0.51,0.51,<4.0  ,4
LP-7 (SW-2),LP-7 (SW-2),6/16/2009,<0.20  ,0.2,0.3,0.3,5.3,5.3
LP-7 (SW-2),LP-7 (SW-2),12/14/2009,<0.20  ,0.2,0.12,0.12,<4.0  ,4
LP-7 (SW-2),LP-7 (SW-2),6/15/2010,0.26,0.26,<0.10  ,0.1,<4.0  ,4
LP-7 (SW-2),LP-7 (SW-2),12/7/2010,<0.20  ,0.2,<0.10  ,0.1,<4.0  ,4
LP-7 (SW-2),LP-7 (SW-2),6/15/2011,0.33,0.33,0.28,0.28,<4.0  ,4
LP-7 (SW-2),LP-7 (SW-2),12/6/2011,<0.20  ,0.2,0.13,0.13,6.3,6.3
LP-7 (SW-2),LP-7 (SW-2),6/12/2012,0.34,0.34,<0.10  ,0.1,<4.0  ,4
LP-7 (SW-2),LP-7 (SW-2),12/4/2012,<0.20  ,0.2,<0.20  ,0.2,<4.0  ,4
LP-7 (SW-2),LP-7 (SW-2),6/13/2013,0.16,0.16,<0.10  ,0.1,<0.50  ,0.5
LP-7 (SW-2),LP-7 (SW-2),12/11/2013,0.1,0.1,<0.10  ,0.1,1.4,1.4
LP-7 (SW-2),LP-7 (SW-2) (B),6/19/2014,<0.25  ,0.25,<0.10  ,0.1,<0.50  ,0.5
LP-7 (SW-2),LP-7 (SW-2) (S),6/19/2014,<0.25  ,0.25,<0.10  ,0.1,<0.50  ,0.5
LP-7 (SW-2),LP-7 (SW-2),12/4/2014,0.14,0.14,0.213,0.213,1.4,1.4
LP-7 (SW-2),LP-7 (SW-2),6/2/2015,<0.050  ,0.05,<0.23  ,0.23,0.82,0.82
LP-7 (SW-2),LP-7-12082015,12/8/2015,0.063,0.063,<0.100  ,0.1,4.3,4.3
LP-8,LP-8,6/2/2004,0.49,0.49,0.69,0.69,169,169
LP-8,LP-8,6/13/2007,0.44,0.44,1.7,1.7,163,163
LP-8,LP-8,10/10/2007,0.37,0.37,0.23,0.23,26.2,26.2
LP-8,LP-8,2/8/2008,0.35,0.35,5.3 J ,5.3,135,135
LP-8,LP-8,6/11/2008,1.2,1.2,1.2 B ,1.2,83.1,83.1
LP-8,LP-8,10/7/2008,0.53,0.53,0.69,0.69,47,47
LP-8,LP-8,2/10/2009,0.64,0.64,0.92,0.92,69.2,69.2
LP-8,LP-8,6/16/2009,0.23,0.23,0.74,0.74,74.1,74.1
LP-8,LP-8,12/14/2009,<0.20  ,0.2,1.7,1.7,98.6,98.6
LP-8,LP-8,6/15/2010,0.63,0.63,1.1,1.1,94.8,94.8
LP-8,LP-8,12/7/2010,<0.20  ,0.2,0.5,0.5,35.7,35.7
LP-8,LP-8,6/15/2011,0.29,0.29,0.69,0.69,87.3,87.3
LP-8,LP-8,12/6/2011,0.35,0.35,0.66,0.66,45.1,45.1
LP-8,LP-8,6/12/2012,0.29,0.29,<0.10  ,0.1,10.4,10.4
LP-8,LP-8,12/4/2012,<0.20  ,0.2,<0.20  ,0.2,46,46
LP-8,LP-8,6/11/2013,0.1,0.1,0.27,0.27,84,84
LP-8,LP-8,12/10/2013,< NS ,,< NS ,,< NS ,
LP-8,LP-8 (B),6/18/2014,<0.25  ,0.25,0.15,0.15,15,15
LP-8,LP-8 (S),6/18/2014,<0.25  ,0.25,0.14,0.14,14,14
LP-8,LP-8,12/4/2014,0.16,0.16,0.193,0.193,49,49
LP-8,LP-8,6/3/2015,0.13,0.13,0.132,0.132,63,63
LP-8,LP-8-12082015,12/8/2015,0.11,0.11,0.335,0.335,36,36
LP-8,LP-8-06072016,6/7/2016,0.17 J ,0.17,0.153,0.153,20 J ,20
LP-8,LP8-12132016-1335,12/13/2016,0.069,0.069,0.185,0.185,29,29
LP-8,LP-8-06062017,6/6/2017,0.24,0.24,0.477,0.477,31,31
LP-8,LP-8-12122017,12/12/2017,0.14,0.14,<0.100  ,0.1,24,24
LP-8,LP-8-12042018,12/4/2018,0.071,0.071,<0.100  ,0.1,34,34
LP-8,LP-8-12102019,12/10/2019,0.033 J ,0.033,<0.100  ,0.1,51,51
LP-8,LP-8-120820,12/8/2020,<0.050 J ,0.05,0.591,0.591,21.1,21.1
LP-8,LP-8-120721,12/7/2021,0.099,0.099,0.403,0.403,33.7 J ,33.7
LP-8,LP-8-120622,12/6/2022,0.29,0.29,0.459,0.459,25.3,25.3
LP-8,LP-8-12052023,12/5/2023,<0.200  ,0.2,0.0533 J ,0.0533,9.17,9.17
LP-8,LP-8-12042024,12/4/2024,<0.200  ,0.2,0.25,0.25,19,19
LP-9,LP-9,6/2/2004,0.61,0.61,4.2,4.2,723,723
LP-9,LP-9,6/13/2007,0.53,0.53,1.8,1.8,163,163
LP-9,LP-9,10/10/2007,0.5,0.5,0.44,0.44,61.3,61.3
LP-9,LP-9,2/8/2008,0.5,0.5,5.5 J ,5.5,152,152
LP-9,LP-9,6/11/2008,2.3,2.3,1.2 B ,1.2,87.5,87.5
LP-9,LP-9,10/7/2008,0.44,0.44,0.68,0.68,49.9,49.9
LP-9,LP-9,2/10/2009,0.74,0.74,2.1,2.1,68.3,68.3
LP-9,LP-9,6/16/2009,0.23,0.23,0.76,0.76,81.9,81.9
LP-10,LP-10,6/3/2004,0.12 B ,0.12,<0.10  ,0.1,<1.0  ,1
LP-11,LP-11,6/13/2007,0.095 J ,0.095,0.33,0.33,36.9,36.9
LP-11,LP-11,10/10/2007,<0.20  ,0.2,<0.10  ,0.1,<4.0  ,4
LP-11,LP-11,2/8/2008,<0.20  ,0.2,<10  ,10,<8.0  ,8
LP-11,LP-11,6/11/2008,0.57,0.57,0.89 B ,0.89,43.8,43.8
LP-11,LP-11,10/7/2008,<0.20  ,0.2,<0.10  ,0.1,<8.0  ,8
LP-11,LP-11,2/10/2009,<0.20  ,0.2,0.11,0.11,<8.0  ,8
LP-11,LP-11,6/16/2009,<0.20  ,0.2,0.16,0.16,14.3,14.3
LP-11,LP-11,12/14/2009,<0.20  ,0.2,0.11,0.11,<4.0  ,4
LP-11,LP-11,6/15/2010,0.28,0.28,0.41,0.41,28.6,28.6
LP-11,LP-11,12/7/2010,<0.20  ,0.2,<0.10  ,0.1,<4.0  ,4
LP-11,LP-11,6/15/2011,0.44,0.44,<0.20  ,0.2,6.1,6.1
LP-11,LP-11,12/6/2011,<0.20  ,0.2,3.7,3.7,<4.0  ,4
LP-11,LP-11,6/12/2012,0.21,0.21,<0.10  ,0.1,<4.0  ,4
LP-11,LP-11,12/4/2012,<0.20  ,0.2,<0.20  ,0.2,<20  ,20
LP-11,LP-11,6/11/2013,0.11,0.11,<0.10  ,0.1,20,20
LP-11,LP-11,12/10/2013,< NS ,,< NS ,,< NS ,
LP-11,LP-11 (B),6/18/2014,<0.25  ,0.25,<0.10  ,0.1,0.91,0.91
LP-11,LP-11 (S),6/18/2014,<0.25  ,0.25,<0.10  ,0.1,1.2,1.2
LP-11,LP-11,12/5/2014,0.27,0.27,0.191,0.191,14,14
LP-11,LP-11,6/2/2015,<0.050  ,0.05,<0.23  ,0.23,52,52
LP-11,LP-11-12082015,12/8/2015,0.042 J ,0.042,0.34,0.34,15,15
LP-11,LP-11-06072016,6/7/2016,0.17 J ,0.17,0.224,0.224,<40  ,40
LP-11,LP11-12132016-1300,12/13/2016,0.052,0.052,0.176,0.176,1,1
LP-11,LP-11-06062017,6/6/2017,0.17,0.17,0.545,0.545,19,19
LP-11,LP-11-12122017,12/12/2017,0.14,0.14,<0.100  ,0.1,0.69,0.69
LP-11,LP-11-12042018,12/4/2018,0.072,0.072,<0.100  ,0.1,0.54,0.54
LP-11,LP-11-12102019,12/10/2019,0.056,0.056,<0.100  ,0.1,24,24
LP-11,LP-11-120820,12/8/2020,0.3,0.3,0.21,0.21,<0.200  ,0.2
LP-11,LP-11-120721,12/7/2021,0.061,0.061,0.155 J ,0.155,0.171 J ,0.171
LP-11,LP-11-120622,12/6/2022,<0.050  ,0.05,<0.100  ,0.1,<0.100  ,0.1
LP-11,LP-11-12052023,12/5/2023,0.101 J ,0.101,0.0361 J ,0.0361,0.0546 J ,0.0546
LP-11,LP-11-12042024,12/4/2024,<0.200  ,0.2,<0.100  ,0.1,<0.5  ,0.5
LP-12,LP-12,6/13/2007,0.98,0.98,1.7,1.7,163,163
LP-12,LP-12,10/10/2007,0.38,0.38,0.2,0.2,23.6,23.6
LP-12,LP-12,2/8/2008,0.41,0.41,5.3 J ,5.3,136,136
LP-12,LP-12,6/11/2008,1.1,1.1,1.2 B ,1.2,72.6,72.6
LP-12,LP-12,10/7/2008,0.52,0.52,0.69,0.69,48.4,48.4
LP-12,LP-12,2/10/2009,0.48,0.48,0.87,0.87,66.9,66.9
LP-12,LP-12,6/16/2009,0.3,0.3,0.65,0.65,72,72
LP-12,LP-12,12/14/2009,0.28,0.28,1.7,1.7,94.3,94.3
LP-12,LP-12,6/15/2010,0.47,0.47,1,1,89.8,89.8
LP-12,LP-12,12/7/2010,<0.20  ,0.2,0.49,0.49,34.6,34.6
LP-12,LP-12,6/15/2011,0.37,0.37,0.61,0.61,86.1,86.1
LP-12,LP-12,12/6/2011,<0.20  ,0.2,0.59,0.59,43.1,43.1
LP-12,LP-12,6/12/2012,0.24,0.24,<0.10  ,0.1,12.4,12.4
LP-12,LP-12,12/4/2012,<0.20  ,0.2,<0.20  ,0.2,38,38
LP-12,LP-12,6/11/2013,0.13,0.13,0.26,0.26,79,79
LP-12,LP-12,12/10/2013,< NS ,,< NS ,,< NS ,
LP-12,LP-12 (B),6/18/2014,<0.25  ,0.25,0.16,0.16,14,14
LP-12,LP-12 (S),6/18/2014,<0.25  ,0.25,0.14,0.14,13,13
LP-12,LP-12,12/5/2014,0.14,0.14,0.18,0.18,44,44
LP-12,LP-12,6/2/2015,<0.050  ,0.05,<0.23  ,0.23,54,54
LP-12,LP-12-12082015,12/8/2015,0.072,0.072,0.362,0.362,30 J ,30
LP-12,LP-12-06072016,6/7/2016,0.19 J ,0.19,0.182,0.182,16 J ,16
LP-12,LP12-12132016-1315,12/13/2016,0.066,0.066,0.173,0.173,25,25
LP-12,LP-12-06062017,6/6/2017,0.23,0.23,0.577,0.577,31,31
LP-12,LP-12-12122017,12/12/2017,0.11,0.11,<0.100  ,0.1,25,25
LP-12,LP-12-12042018,12/4/2018,0.074,0.074,<0.100  ,0.1,34,34
LP-12,LP-12-12102019,12/10/2019,0.047 J ,0.047,<0.100  ,0.1,50,50
LP-12,LP-12-120820,12/8/2020,0.14,0.14,0.582,0.582,21.5,21.5
LP-12,LP-12-120721,12/7/2021,0.063,0.063,0.366,0.366,33.2 J ,33.2
LP-12,LP-12-120622,12/6/2022,<0.050  ,0.05,0.373,0.373,20.1,20.1
LP-12,LP-12-12052023,12/5/2023,<0.200  ,0.2,0.0469 J ,0.0469,8.08,8.08
LP-12,LP-12-12042024,12/4/2024,<0.200  ,0.2,0.233,0.233,21,21
LP-13,LP-13,12/14/2009,4.3,4.3,28,28,2320,2320
LP-13,LP-13,6/15/2010,1.3,1.3,17,17,2400,2400
LP-13,LP-13,12/7/2010,0.45,0.45,2.2,2.2,225,225
LP-13,LP-13,6/15/2011,0.87,0.87,5.4,5.4,828,828
LP-13,LP-13,12/6/2011,0.67,0.67,9.4,9.4,941,941
LP-13,LP-13,6/12/2012,0.44,0.44,<0.10  ,0.1,57.5,57.5
LP-13,LP-13,12/4/2012,2,2,95,95,7700,7700
LP-13,LP-13,6/11/2013,0.51,0.51,0.74,0.74,240,240
LP-13,LP-13,12/10/2013,0.11,0.11,0.87,0.87,170,170
LP-13,LP-13 (B),6/19/2014,0.28,0.28,9.1,9.1,2300,2300
LP-13,LP-13 (S),6/19/2014,<0.25  ,0.25,9.5,9.5,2400,2400
LP-13,LP-13,12/4/2014,0.16,0.16,2.67,2.67,390,390
LP-13,LP-13,6/4/2015,0.15,0.15,6.38,6.38,1700,1700
LP-13,LP-13-12082015,12/8/2015,0.47,0.47,1.03,1.03,33,33
LP-13,LP-13-06072016,6/7/2016,0.46 J ,0.46,32.1,32.1,6600 J ,6600
LP-13,LP13-12132016-1505,12/13/2016,0.086,0.086,9.4,9.4,1200,1200
LP-13,LP-13-06062017,6/6/2017,0.68,0.68,16.4,16.4,3200,3200
LP-13,LP-13-12132017,12/13/2017,0.19,0.19,9.33,9.33,1300,1300
LP-13,LP-13-12042018,12/4/2018,0.36,0.36,17.6,17.6,2500,2500
LP-13,LP-13-12102019,12/10/2019,0.15,0.15,14.6,14.6,2600,2600
LP-13,LP-13-120820,12/8/2020,0.23,0.23,26.1,26.1,3520,3520
LP-13,LP-13-120721,12/7/2021,0.075,0.075,0.393,0.393,252 J ,252
LP-13,LP-13-120622,12/6/2022,0.075,0.075,5.74,5.74,790,790
LP-13,LP-13-12052023,12/5/2023,<0.200  ,0.2,87.3,87.3,10800,10800
LP-13,LP-13-12042024,12/4/2024,<0.200  ,0.2,0.234,0.234,42,42
LP-BG,LP-BG-06072016,6/7/2016,0.15 J ,0.15,<0.100  ,0.1,<40  ,40
LP-BG,LP-BG-12132016-1410,12/13/2016,0.28,0.28,0.253,0.253,<0.20  ,0.2
LP-BG,LP-BG-06062017,6/6/2017,0.14,0.14,<0.100  ,0.1,<0.20  ,0.2
LP-BG,LP-BG-12122017,12/12/2017,0.18,0.18,0.675,0.675,<0.20  ,0.2
LP-BG,LP-BG-12042018,12/4/2018,0.24,0.24,0.434,0.434,<0.20  ,0.2
LP-BG,LP-BG-12102019,12/10/2019,0.14,0.14,<0.100  ,0.1,<0.20  ,0.2
LP-BG,LP-BG-120820,12/8/2020,0.2,0.2,0.294,0.294,<0.100  ,0.1
LP-BG,LP-BG-120721,12/7/2021,0.11,0.11,0.339,0.339,<0.100  ,0.1
LP-BG,LP-BG-120622,12/6/2022,<0.050  ,0.05,0.116,0.116,<0.100  ,0.1
LP-BG,LP-BG-12052023,12/5/2023,<0.200  ,0.2,0.0639 J ,0.0639,<0.100  ,0.1
LP-BG,LP-BG-12042024,12/4/2024,0.125 J ,0.125,<0.100  ,0.1,<0.5  ,0.5
LP-BG (SW-11),LP-BG (SW-11),8/22/2002,<0.10  ,0.1,<0.10  ,0.1,<4.0  ,4
LP-BG (SW-11),LP-BG (SW-11),1/15/2003,0.2,0.2,0.17,0.17,<5.0  ,5
LP-BG (SW-11),LP-BG (SW-11),3/8/2004,0.61,0.61,0.39,0.39,<4.0  ,4
LP-BG (SW-11),LP-BG (SW-11),6/1/2004,0.24,0.24,<0.10  ,0.1,<2.0  ,2
LP-BG (SW-11),LP-BG (SW-11),9/9/2004,0.15 B ,0.15,0.44 B ,0.44,<1.0  ,1
LP-BG (SW-11),LP-BG (SW-11),12/7/2004,0.19 B ,0.19,0.2,0.2,<1.0  ,1
LP-BG (SW-11),LP-BG (SW-11),6/28/2005,<0.20  ,0.2,<0.10  ,0.1,<1.0  ,1
LP-BG (SW-11),LP-BG (SW-11),12/6/2005,<0.20  ,0.2,0.16,0.16,<2.0  ,2
LP-BG (SW-11),LP-BG (SW-11),3/6/2006,<0.20  ,0.2,0.15,0.15,<2.0  ,2
LP-BG (SW-11),LP-BG (SW-11),9/7/2006,<0.20  ,0.2,<0.10  ,0.1,<8.0  ,8
LP-BG (SW-11),LP-BG (SW-11),6/12/2007,0.2,0.2,0.1,0.1,<4.0  ,4
LP-BG (SW-11),LP-BG (SW-11),10/10/2007,<0.20  ,0.2,<0.10  ,0.1,<4.0  ,4
LP-BG (SW-11),LP-BG (SW-11),2/8/2008,<0.20  ,0.2,<0.10  ,0.1,<8.0  ,8
